quiz_title,subject,grade,outcome_text,question,option_1,option_2,option_3,option_4,answer,image_topic,image_description,ai_prompt,image_url
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",What type of line intersects with another line at a single point?,A line that never touches another line,A line that touches another line at two points,A line that touches another line at one point,A line that is always the same distance apart from another line,A line that touches another line at one point,Two straight lines crossing each...,"Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".","Create an educational diagram for Math Grade 6 based on the question: ""What type of line intersects with another line at a single point?"". The diagram must show: Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",Which type of line never intersects with another line?,A line that touches another line at two points,A line that touches another line at one point,A line that is always the same distance apart from another line,A line that never touches another line,A line that never touches another line,Two straight parallel lines that...,"Two straight parallel lines that never meet. Use arrow notation (>>) on both lines to indicate parallelism. Add a label: ""Parallel lines - always the same distance apart, never intersect"".","Create an educational diagram for Math Grade 6 based on the question: ""Which type of line never intersects with another line?"". The diagram must show: Two straight parallel lines that never meet. Use arrow notation (>>) on both lines to indicate parallelism. Add a label: ""Parallel lines - always the same distance apart, never intersect"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",What type of line is always the same distance apart from another line?,A line that touches another line at two points,A line that touches another line at one point,A line that is always the same distance apart from another line,A line that never touches another line,A line that is always the same distance apart from another line,Two straight parallel lines that...,"Two straight parallel lines that never meet. Use arrow notation (>>) on both lines to indicate parallelism. Add a label: ""Parallel lines - always the same distance apart, never intersect"".","Create an educational diagram for Math Grade 6 based on the question: ""What type of line is always the same distance apart from another line?"". The diagram must show: Two straight parallel lines that never meet. Use arrow notation (>>) on both lines to indicate parallelism. Add a label: ""Parallel lines - always the same distance apart, never intersect"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",Which type of line touches another line at two points?,A line that never touches another line,A line that touches another line at two points,A line that touches another line at one point,A line that is always the same distance apart from another line,A line that touches another line at two points,Two straight lines crossing each...,"Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".","Create an educational diagram for Math Grade 6 based on the question: ""Which type of line touches another line at two points?"". The diagram must show: Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",What type of line touches another line at one point?,A line that never touches another line,A line that touches another line at two points,A line that touches another line at one point,A line that is always the same distance apart from another line,A line that touches another line at one point,Two straight lines crossing each...,"Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".","Create an educational diagram for Math Grade 6 based on the question: ""What type of line touches another line at one point?"". The diagram must show: Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",Which type of line is perpendicular to another line?,A line that is the same length as another line,A line that is the same width as another line,A line that is always the same distance apart from another line,A line that forms a 90-degree angle with another line,A line that forms a 90-degree angle with another line,Two straight lines intersecting at...,"Two straight lines intersecting at exactly 90 degrees. Mark the right angle with a small square symbol at the intersection. Label: ""Perpendicular lines intersect at 90 degrees"".","Create an educational diagram for Math Grade 6 based on the question: ""Which type of line is perpendicular to another line?"". The diagram must show: Two straight lines intersecting at exactly 90 degrees. Mark the right angle with a small square symbol at the intersection. Label: ""Perpendicular lines intersect at 90 degrees"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",What type of angle is formed when two lines intersect?,A right angle,An acute angle,An obtuse angle,A straight angle,A straight angle,Two straight lines crossing each...,"Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".","Create an educational diagram for Math Grade 6 based on the question: ""What type of angle is formed when two lines intersect?"". The diagram must show: Two straight lines crossing each other at exactly one point. Mark the intersection point clearly with a visible dot. Label: ""Intersecting lines - they meet at a single point"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",Which type of angle is less than 90 degrees?,A right angle,An acute angle,An obtuse angle,A straight angle,An acute angle,Two rays forming an acute...,"Two rays forming an acute angle (less than 90 degrees). Mark the angle with a small arc between the rays and label it with the degree measure (e.g., 45°). Add text: ""Acute angle < 90°"".","Create an educational diagram for Math Grade 6 based on the question: ""Which type of angle is less than 90 degrees?"". The diagram must show: Two rays forming an acute angle (less than 90 degrees). Mark the angle with a small arc between the rays and label it with the degree measure (e.g., 45°). Add text: ""Acute angle < 90°"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",What type of angle is greater than 90 degrees?,A right angle,An acute angle,An obtuse angle,A straight angle,An obtuse angle,Two rays forming an obtuse...,"Two rays forming an obtuse angle (between 90 and 180 degrees). Mark the angle with an arc and label with a measure like 120°. Add text: ""Obtuse angle > 90° and < 180°"".","Create an educational diagram for Math Grade 6 based on the question: ""What type of angle is greater than 90 degrees?"". The diagram must show: Two rays forming an obtuse angle (between 90 and 180 degrees). Mark the angle with an arc and label with a measure like 120°. Add text: ""Obtuse angle > 90° and < 180°"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
"Math G6: Distinguishing basic geometric concepts, identifying types - Set 1",Math,6,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.",Which type of angle is exactly 90 degrees?,A right angle,An acute angle,An obtuse angle,A straight angle,A right angle,Two perpendicular rays meeting at...,"Two perpendicular rays meeting at a right angle (90 degrees). Mark the right angle with the small square symbol. Label: ""Right angle = 90°"".","Create an educational diagram for Math Grade 6 based on the question: ""Which type of angle is exactly 90 degrees?"". The diagram must show: Two perpendicular rays meeting at a right angle (90 degrees). Mark the right angle with the small square symbol. Label: ""Right angle = 90°"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",What is the formula for the area of a rectangle?,Area = Length + Width,Area = Length x Width,Area = Length - Width,Area = Length / Width,Area = Length x Width,A rectangle with opposite sides...,"A rectangle with opposite sides marked equal (single tick mark on the two lengths, double tick mark on the two widths). All four corners marked with right angle square symbols. Label ""length (l)"" and ""width (w)"".","Create an educational diagram for Math Grade 6 based on the question: ""What is the formula for the area of a rectangle?"". The diagram must show: A rectangle with opposite sides marked equal (single tick mark on the two lengths, double tick mark on the two widths). All four corners marked with right angle square symbols. Label ""length (l)"" and ""width (w)"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",What is the formula for the area of a square?,Area = Side x Side,Area = Side + Side,Area = Side - Side,Area = Side / Side,Area = Side x Side,A square with all four...,"A square with all four sides of equal length (marked with single tick marks on each side). All four interior angles marked as 90 degrees with small square symbols. Label side length as ""s"" and include text: ""Square: 4 equal sides, 4 right angles"".","Create an educational diagram for Math Grade 6 based on the question: ""What is the formula for the area of a square?"". The diagram must show: A square with all four sides of equal length (marked with single tick marks on each side). All four interior angles marked as 90 degrees with small square symbols. Label side length as ""s"" and include text: ""Square: 4 equal sides, 4 right angles"".. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G6: Distinguishing formulas for the perimeter and - Set 1,Math,6,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.",What is the formula for the area of a parallelogram?,Area = Base x Height,Area = Base + Height,Area = Base - Height,Area = Base / Height,Area = Base + Height,A parallelogram (slanted rectangle) with...,"A parallelogram (slanted rectangle) with opposite sides marked parallel using arrow notation (single arrow on one pair, double arrows on the other pair). Opposite sides also marked equal with tick marks. Label base and height with dashed line.","Create an educational diagram for Math Grade 6 based on the question: ""What is the formula for the area of a parallelogram?"". The diagram must show: A parallelogram (slanted rectangle) with opposite sides marked parallel using arrow notation (single arrow on one pair, double arrows on the other pair). Opposite sides also marked equal with tick marks. Label base and height with dashed line.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
