Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 3,English,Vocabulary Acquisition and Use of Verbal Semantics,"3.2.1.1.1 Identifying vocabulary meanings in the text, their synonyms, and antonyms, classifying them according to meanings and types in terms of number and grammatical categories, and using them in meaningful sentences and new contexts.","2. Classifying vocabulary according to meanings, grammatical categories (masculine-feminine), (noun-verb-letter), and number (singular-two-plural)."
Grade 3,English,Vocabulary Acquisition and Use of Verbal Semantics,"3.2.1.1.1 Identifying vocabulary meanings in the text, their synonyms, and antonyms, classifying them according to meanings and types in terms of number and grammatical categories, and using them in meaningful sentences and new contexts.",3. Using vocabulary in meaningful sentences and new linguistic contexts.
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.",2. Distinguishing the commutative property of addition and multiplication and using it to find the results and verify their correctness.
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.","3. Distinguishing the associative property of addition and multiplication and using it to find the result of adding three numbers within 2-digit, and the result of multiplying several numbers of 1-digit mentally."
Grade 3,Math,Algebra and analysis,"3-4-2-2-2 Distinguishing the relations between the four operations, and using them to find the results and verify their correctness.","1. Describing and classifying two-dimensional geometric shapes (triangle, square, rectangle, circle, parallelogram, trapezoid, pentagon, hexagon), and comparing them based on the number of sides, the number of vertices, and the congruence of sides."
Grade 3,Math,Geometry and measurement,"3-4-3-2-3 Distinguishing currency denominations, using them for counting, representing amounts, and comparing them, and solving mathematical problems including financial applications.",1. Distinguishing the types of coins and banknotes and using them to count amounts up to 9999 riyals.
Grade 3,Math,Geometry and measurement,"3-4-3-2-3 Distinguishing currency denominations, using them for counting, representing amounts, and comparing them, and solving mathematical problems including financial applications.","2. Representing amounts up to 9999 riyals by using money categories in a variety of ways, and comparing them."
Grade 3,Math,Geometry and measurement,"3-4-3-2-4 Estimating and measuring time using appropriate units of time, reading and writing time, and solving mathematical problems including time applications.","1. Selecting the suitable units of time (seconds, minutes, hours) to estimate the duration of an event."
Grade 3,Math,Numbers and operations,"3-4-1-1-1 Understanding the place value of numbers up to four digits and using it to represent numbers, read, write, compare, order, and round them.","2. Reading and writing numbers up to four digits in standard, verbal, and expanded forms."
Grade 3,Math,Numbers and operations,"3-4-1-1-1 Understanding the place value of numbers up to four digits and using it to represent numbers, read, write, compare, order, and round them.","4. Comparing numbers up to four digits using symbols (>, <, =) and ordering them in ascending and descending order."
Grade 3,Math,Numbers and operations,"3-4-1-1-2 Understanding fractions, representing, reading, writing, comparing, and ordering them.","3. Comparing fractions (with numerators or denominators not exceeding 12) using models, graphs, number, and symbols (>, <, =) and ordering them in ascending and descending order."
Grade 3,Math,Numbers and operations,"3-4-1-2-1 Finding and estimating the results of addition and subtraction of whole numbers up to three digits, and solving mathematical problems including real-life applications.","2. Estimating the results of addition and subtraction of whole numbers up to three digits by rounding to an appropriate place value or using compatible numbers, and using estimation to check the reasonableness of the result."
Grade 3,Math,Numbers and operations,"3-4-1-2-2 Understanding the operations of multiplication and division, representing them using models, forming fact family, finding their results, and solving mathematical problems including real-life applications.",4. solving mathematical problems including real- life applications with one or two steps using the four operations and explaining their solution.
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.","3. Inferring the values and attitudes mentioned in the read text, evaluating them, expressing opinion about them with justification, and identifying the writerâ€™s point of view."
Grade 6,English,Reading Comprehension,"6.2.1.1.3 Expressing an opinion about the au-thor's point of view, values and attitudes, pro-posing alternatives and solutions, and using means of persuasion and reasoning.","4. Suggesting a title, beginning, or conclusion that differs from the text, rephrasing the text or a paragraph of it in his own language and style, and organizing the text's information into graphic organizers."
Grade 6,English,Vocabulary Acquisition and Use of Verbal Semantics,"6.2.1.1.1 Inferring synonyms and meanings of vocabulary mentioned in the read text, distinguishing vocabulary that is similar in meaning, giving examples, and using vocabulary, synonyms and antonyms in meaningful sentences.",3. Classifying synonyms and antonyms that are similar in meaning according to their purpose in the text.
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","3. Expressing the relationship between two sets of data in inputâ€“output tables using words, symbols, and ordered pairs, and representing them on the coordinate plane."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","4. Completing data in inputâ€“output tables, expanding them, and constructing tables according to a given rule (involving no more than two arithmetic operations)."
Grade 6,Math,Algebra and analysis,"6-4-2-1-1 Distinguishing growing numerical and geometric patterns, generating and generalizing them, exploring relationships from data tables, and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications of patterns and inputâ€“output tables, and explaining their solutions."
Grade 6,Math,Algebra and analysis,"6-4-2-2-1 Distinguishing and writing algebraic expressions, finding their values, solving simple linear equations, and solving mathematical problems including real-life applications.","2. Distinguishing and writing simple one-step linear equations,  and solving them mentally and by using models."
Grade 6,Math,Geometry and measurement,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.","3. Distinguishing intersecting, parallel, and perpendicular lines, and identifying them on geometric figures."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","2. Identifying the appropriate unit of mass, distinguishing relationships between metric units of mass (g, mg), (kg, g), (ton, kg), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","3. Identifying the appropriate unit of capacity, distinguishing relationships between metric units of capacity (l, ml), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","4. Distinguishing relationships between units of time (second, minute), (minute, hour), (hour, day), (day, week), (month, year), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.","2. Distinguishing formulas for the areas of the rectangle, square, parallelogram, and triangle, and using them to calculate their areas and the areas of composite shapes formed from them."
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","1. Estimating volume and measuring it by using the appropriate metric unit (ml3, cm3, and m3)."
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",2. Distinguishing the formula for the volume of a right rectangular prism and using it to calculate its volume.
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","4. Solving mathematical problems including real-life applications of the volume and surface area of a right rectangular prism, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-1-1 Understanding and representing the place value of numbers up to 12 digits, reading, writing, comparing, Ordering, rounding them.","2. Reading and writing numbers up to 12 digits in standard, verbal, and analytical forms."
Grade 6,Math,Numbers and operations,"6-4-1-1-3 Understanding and representing decimal fractions, recognizing the place value of a digit in it, reading, writing, comparing, ordering, and rounding them, and converting between decimal fractions, Proper fractions and mixed numbers.","3. Comparing decimal fractions, ordering them in ascending and descending order, and converting between decimal fractions, Proper fractions, and mixed numbers."
