Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 3,English,Reading Comprehension,"3.2.1.1.2 Identifying explicit ideas in the text, derive facts, interpreting and analyzing them, and determining text type.",1. Determining the goal of the text and identifying the main idea in a paragraph.
Grade 3,English,Reading Comprehension,"3.2.1.1.2 Identifying explicit ideas in the text, derive facts, interpreting and analyzing them, and determining text type.",2. Extracting information directly from the read text and determining its type.
Grade 3,English,Reading Comprehension,"3.2.1.1.2 Identifying explicit ideas in the text, derive facts, interpreting and analyzing them, and determining text type.","3. Identifying the components and elements of the text, and arranging events, ideas, or information according to their occurrence."
Grade 3,English,Reading Comprehension,"3.2.1.1.2 Identifying explicit ideas in the text, derive facts, interpreting and analyzing them, and determining text type.","4. Determining causes, results, and relationships, and describing motives and actions of the characters in a text."
Grade 3,English,Reading Comprehension,"3.2.1.1.2 Identifying explicit ideas in the text, derive facts, interpreting and analyzing them, and determining text type.",5. Inferring similarities and differences in the text and linking causes to results.
Grade 3,English,Reading Comprehension,"3.2.1.1.3 Distinguishing between multiple expressions, expressing opinion about points of view, and proposing alternatives.","1. Distinguishing between given phrases in the read text, identifying phrases and aesthetic expressions and expressing his/her opinion about them."
Grade 3,English,Reading Comprehension,"3.2.1.1.3 Distinguishing between multiple expressions, expressing opinion about points of view, and proposing alternatives.",2. Expressing his/her opinion and points of view on the subject of the read text with appropriate justifications.
Grade 3,English,Reading Comprehension,"3.2.1.1.3 Distinguishing between multiple expressions, expressing opinion about points of view, and proposing alternatives.",3. Assessing the probability of the events described by the writer and the possibility of their occurrence.
Grade 3,English,Reading Comprehension,"3.2.1.1.3 Distinguishing between multiple expressions, expressing opinion about points of view, and proposing alternatives.",4. Inferring the values and attitudes contained in the read text and evaluating them.
Grade 3,English,Reading Comprehension,"3.2.1.1.3 Distinguishing between multiple expressions, expressing opinion about points of view, and proposing alternatives.","5. Suggesting a title, an ending different from the end of the read text, and solutions to problems or issues appeared within."
Grade 3,English,Vocabulary Acquisition and Use of Verbal Semantics,"3.2.1.1.1 Identifying vocabulary meanings in the text, their synonyms, and antonyms, classifying them according to meanings and types in terms of number and grammatical categories, and using them in meaningful sentences and new contexts.",1. Identifying the synonyms and antonyms of vocabulary mentioned in the text and clarifying their meanings.
Grade 3,English,Vocabulary Acquisition and Use of Verbal Semantics,"3.2.1.1.1 Identifying vocabulary meanings in the text, their synonyms, and antonyms, classifying them according to meanings and types in terms of number and grammatical categories, and using them in meaningful sentences and new contexts.","2. Classifying vocabulary according to meanings, grammatical categories (masculine-feminine), (noun-verb-letter), and number (singular-two-plural)."
Grade 3,English,Vocabulary Acquisition and Use of Verbal Semantics,"3.2.1.1.1 Identifying vocabulary meanings in the text, their synonyms, and antonyms, classifying them according to meanings and types in terms of number and grammatical categories, and using them in meaningful sentences and new contexts.",3. Using vocabulary in meaningful sentences and new linguistic contexts.
Grade 3,Math,Algebra and analysis,"3-4-2-1-1 Describing non-numerical patterns, numerical patterns, and growing geometric patterns, completing and expanding them.","1. Distinguishing the properties of addition and subtraction with zero, multiplication and division with one, and multiplication with zero, and applying them to find results"
Grade 3,Math,Algebra and analysis,"3-4-2-1-1 Describing non-numerical patterns, numerical patterns, and growing geometric patterns, completing and expanding them.","2. Describing numeric patterns in words that follow a single arithmetic rule (addition, subtraction, or multiplication), completing missing elements, and extending them."
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.","1. Distinguishing the relationship between addition and subtraction for numbers up to three digits, and using it to find results and verify their correctness."
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.",2. Distinguishing the commutative property of addition and multiplication and using it to find the results and verify their correctness.
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.","2. Distinguishing the relationship between multiplication and addition, and using it to find the result and verify its correctness."
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.","3. Distinguishing the associative property of addition and multiplication and using it to find the result of adding three numbers within 2-digit, and the result of multiplying several numbers of 1-digit mentally."
Grade 3,Math,Algebra and analysis,"3-4-2-2-1 Distinguishing the characteristics of four operations, and using them to find the results and verify their correctness.",4. Distinguishing the distributive property of multiplication over addition to find the result of multiplying two numbers of 1-digit mentally.
